File Name With Path,Date and Time,User Naem,No of Print,Output File Name
,,,,
p.pdf,07/09/2019 12:37,preya,2,a.pdf
,,,,
a.pdf,07/09/2019 12:37,preya,5,x.pdf
,,,,
p.pdf,07/09/2019 12:38,preya,5,x.pdf
,,,,
C:/Users/preya/Downloads/nishu hdfc.pdf,07/09/2019 13:14,preya,10,C:/Users/preya/Downloads/nishu hdfc-print.pdf
,,,,
"C:/Users/preya/Downloads/pdf-sample (6.5,7) (1).pdf",07/09/2019 13:17,preya,10,"C:/Users/preya/Downloads/pdf-sample (6.5,7) (1)print.pdf"
,,,,
C:/Users/preya/Downloads/b.pdf,07/09/2019 13:18,preya,2,C:/Users/preya/Downloads/xx.pdf
,,,,
C:/Users/preya/Downloads/b.pdf,07/09/2019 13:19,preya,200,C:/Users/preya/Downloads/xx.pdf
,,,,
"C:/Data/Learning/Intas Project/pdf-sample (6.5,7) (1).pdf",07/09/2019 13:48,preya,2,"C:/Data/Learning/Intas Project/pdf-sample (6.5,7) (1)asadsa.pdf"
,,,,
"C:/Users/preya/Downloads/pdf-sample (6.5,7).pdf",07/09/2019 13:58,preya,2,"C:/Users/preya/Downloads/pdf-sample (6.5,7)-print.pdf"
